,D28-CTL_values,D28-CTL_std,D14-JFD-CCl4_values,D14-JFD-CCl4_std,D28-JFD-CCl4_values,D28-JFD-CCl4_std,D28-CCl4_values,D28-CCl4_std,D1-CCl4_values,D1-CCl4_std,D14-CCl4_values,D14-CCl4_std,D1-JFD-CCl4_values,D1-JFD-CCl4_std,D14-JFH-CCl4_values,D14-JFH-CCl4_std,D1-JFH-CCl4_values,D1-JFH-CCl4_std,D1-CTL_values,D1-CTL_std,D28-JFH-CCl4_values,D28-JFH-CCl4_std,D14-CTL_values,D14-CTL_std
265036,0.0,0.0,21.4,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.8,0.8,1.6000000000000003,0.0,0.0
269413,0.0,0.0,2.2,2.3151673805580453,0.0,0.0,0.2,0.4000000000000001,27.2,27.5056357861439,0.2,0.4,5.8,10.609429767899876,1.2,1.9390719429665317,1.2,1.9390719429665315,0.0,0.0,0.2,0.4,0.2,0.4
450399,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8000000000000002,0.8,1.1661903789690602,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,9.4,18.8,3.0,6.0,1.6,3.2,0.8,0.7483314773547883,0.0,0.0,0.0,0.0,2.4,4.8
534926,70.2,42.80373815451169,19.6,17.130090484291085,21.2,3.815756805667783,27.8,17.769637024992942,15.6,13.46996659238619,81.8,85.33088538155454,1.0,0.8944271909999159,29.6,33.16986584235758,2.4,3.3823069050575527,20.0,10.13903348450926,33.0,34.40930106817051,30.8,35.470551165720565
196947,409.0,550.0069090475137,490.2,455.3141333189647,327.6,215.62894054370346,318.4,244.2528198404268,147.4,61.12806229547932,1171.4,799.6500734696396,141.8,98.70035460929206,250.0,389.4390838115763,177.4,314.93148461212957,147.8,75.52324145585914,612.4,487.91909165352405,773.4,526.0747475406894
336632,0.0,0.0,109.2,200.88444439527916,185.4,369.30182777776776,242.6,334.15481441990323,0.0,0.0,87.2,155.47784408075643,0.0,0.0,0.2,0.4000000000000001,0.0,0.0,0.2,0.4000000000000001,104.0,208.0,0.0,0.0
266976,6.8,11.142710621747295,6.2,6.615134163416491,14.8,14.2464030548065,12.6,16.668533228811707,2.8,3.655133376499413,8.8,14.190137420053409,1.4,1.4966629547095764,5.0,3.521363372331802,8.0,16.0,1.6,1.4966629547095767,13.0,12.86856635371633,5.2,7.413501197140255
387615,5.4,5.817215828899595,3.0,5.513619500836088,2.8,2.2271057451320084,0.8,1.1661903789690602,11.6,8.01498596380555,0.8,1.6,8.6,4.841487374764082,9.2,13.948476619330155,3.6,1.4966629547095764,2.8,3.4871191548325386,0.2,0.4,7.6,3.1368774282716245
346291,0.0,0.0,2.6,5.2,5.0,10.0,2.2,3.919183588453085,118.0,236.0,284.0,568.0,0.4,0.8000000000000002,0.0,0.0,0.0,0.0,15.8,31.6,0.0,0.0,0.0,0.0
